Дата;Часы;Факт, Мвт*ч;Плановая температура;
04.08.2013;9;9,186;25;
04.08.2013;10;9,123;26;
04.08.2013;11;9,366;27;
04.08.2013;12;9,405;27;
04.08.2013;13;9,077;28;
04.08.2013;14;9,327;28;
04.08.2013;15;9,514;28;
04.08.2013;16;9,354;27;
04.08.2013;17;9,404;27;
04.08.2013;18;9,094;26;
04.08.2013;19;8,891;25;
04.08.2013;20;8,686;23;
04.08.2013;21;8,653;22;
04.08.2013;22;8,308;22;
04.08.2013;23;8,304;21;
05.08.2013;0;8,366;20;
05.08.2013;1;8,442;20;
05.08.2013;2;8,351;19;
05.08.2013;3;8,299;19;
05.08.2013;4;8,17;19;
05.08.2013;5;8,005;20;
05.08.2013;6;8,393;22;
05.08.2013;7;8,778;24;
05.08.2013;8;9,207;25;
05.08.2013;9;9,286;26;
05.08.2013;10;9,56;27;
05.08.2013;11;9,559;28;
05.08.2013;12;9,665;29;
05.08.2013;13;9,761;29;
05.08.2013;14;9,972;29;
05.08.2013;15;9,739;29;
05.08.2013;16;9,304;28;
05.08.2013;17;9,157;27;
05.08.2013;18;9,008;26;
05.08.2013;19;8,787;24;
05.08.2013;20;8,233;23;
05.08.2013;21;8,199;22;
05.08.2013;22;8,203;21;
05.08.2013;23;8,094;21;
06.08.2013;0;8,211;20;
06.08.2013;1;8,093;20;
06.08.2013;2;8,204;19;
06.08.2013;3;7,989;19;
06.08.2013;4;8,064;19;
06.08.2013;5;8,023;20;
06.08.2013;6;8,32;21;
06.08.2013;7;8,556;23;
06.08.2013;8;8,925;24;
06.08.2013;9;9,056;26;
06.08.2013;10;9,101;26;
06.08.2013;11;9,279;27;
06.08.2013;12;9,337;28;
06.08.2013;13;9,299;28;
06.08.2013;14;9,173;28;
06.08.2013;15;9,405;28;
06.08.2013;16;9,13;28;
06.08.2013;17;9,228;27;
06.08.2013;18;9,093;26;
06.08.2013;19;8,695;24;
06.08.2013;20;8,56;22;
06.08.2013;21;8,191;21;
06.08.2013;22;8,295;21;
